experiment_id,timestamp_utc,experiment_type,status,reason,model_id,backend,method,device,precision,load_time_s,ttft_ms_mean,ttft_ms_p50,ttft_ms_p95,e2e_ms_mean,e2e_ms_p50,e2e_ms_p95,e2e_ms_p99,tokens_per_sec_mean,peak_rss_mb,peak_gpu_allocated_mb,model_weight_mb,perplexity,acceptance_rate_mean,speedup_over_baseline
2026-08-25T175542Z_fp32_6c75dec9,2026-08-25T17:55:46Z,search,measured,,gpt2,transformers,fp32,mps,fp32,3.0077212910000526,2.4319789999935892,2.4319789999935892,2.6214101000732626,53.82437500020387,53.82437500020387,54.64888749979764,54.72217749976153,148.67461605451044,491.094,,474.7,,,
2026-08-25T175546Z_fp32_fd6d76fa,2026-08-25T17:55:49Z,search,measured,,gpt2,transformers,fp32,mps,fp32,2.7997125830006553,2.231437500086031,2.231437500086031,2.2354312502102403,108.05293749990597,108.05293749990597,108.36818094981027,108.39620258980176,148.07712317088615,506.469,,474.7,,,
2026-08-25T175549Z_fp32_252a6a39,2026-08-25T17:55:52Z,search,measured,,gpt2,transformers,fp32,mps,fp32,2.777969542000392,2.28252099987003,2.28252099987003,2.2863271001369867,63.6966254996878,63.6966254996878,63.91663814947606,63.936194829457236,125.59720035572059,520.0,,474.7,,,
2026-08-25T175552Z_fp32_2cbfb931,2026-08-25T17:55:55Z,search,measured,,gpt2,transformers,fp32,mps,fp32,2.6019278750000012,2.2880415003783128,2.2880415003783128,2.2952041505504894,117.21243750025678,117.21243750025678,120.46003125037714,120.74870625038784,136.63377904648507,528.953,,474.7,,,
2026-08-25T175555Z_fp16_c10d7a8c,2026-08-25T17:55:58Z,search,measured,,gpt2,transformers,fp16,mps,fp16,2.6846354999997857,2.7284375000817818,2.7284375000817818,2.808143749643932,49.56225000023551,49.56225000023551,50.53927469989503,50.62612133986477,161.49064907732105,769.328,,237.35,,,
2026-08-25T175558Z_fp16_ad35a742,2026-08-25T17:56:01Z,search,measured,,gpt2,transformers,fp16,mps,fp16,2.589079708999634,3.1037915000524663,3.1037915000524663,3.3001035504184983,98.21933300008823,98.21933300008823,111.7221077000977,112.92235434009854,166.79245620420264,779.156,,237.35,,,
2026-08-25T175601Z_fp16_4444e36b,2026-08-25T17:56:04Z,search,measured,,gpt2,transformers,fp16,mps,fp16,2.9985118340000554,3.236999999899126,3.236999999899126,3.2418374998997024,48.9445620000879,48.9445620000879,49.781468399987716,49.85586007997881,163.5092521196546,793.047,,237.35,,,
2026-08-25T175604Z_fp16_7b1b1f7e,2026-08-25T17:56:08Z,search,measured,,gpt2,transformers,fp16,mps,fp16,3.0234512500001074,3.229812499739637,3.229812499739637,3.2982687495859864,96.3738744994771,96.3738744994771,96.83407464954144,96.87498132954715,166.02477079664396,802.125,,237.35,,,
