experiment_id,timestamp_utc,experiment_type,status,reason,model_id,backend,method,device,precision,load_time_s,ttft_ms_mean,ttft_ms_p50,ttft_ms_p95,e2e_ms_mean,e2e_ms_p50,e2e_ms_p95,e2e_ms_p99,tokens_per_sec_mean,peak_rss_mb,peak_gpu_allocated_mb,model_weight_mb,perplexity,acceptance_rate_mean,speedup_over_baseline
2026-08-25T194106Z_fp32_e570d058,2026-08-25T19:41:07Z,search,measured,,gpt2,transformers,fp32,mps,fp32,2.9603380839998863,2.753958500761655,2.753958500761655,2.9820711508364184,59.880083500502224,59.880083500502224,61.20458335053627,61.322316670539294,133.68109465703492,433.922,,474.7,,,
2026-08-25T194107Z_fp32_48b816d2,2026-08-25T19:41:07Z,search,measured,,gpt2,transformers,fp32,mps,fp32,2.9603380839998863,2.344666499084269,2.344666499084269,2.4099916497107188,82.53266699921369,82.53266699921369,83.62867979985822,83.72610315991551,145.4286359834862,445.922,,474.7,,,
2026-08-25T194107Z_fp32_6da3d7ff,2026-08-25T19:41:08Z,search,measured,,gpt2,transformers,fp32,mps,fp32,2.9603380839998863,2.342958500776149,2.342958500776149,2.3448714499863854,108.6716459994932,108.6716459994932,108.8872148990049,108.9063765789615,147.23323255772925,445.938,,474.7,,,
2026-08-25T194108Z_fp32_5c388d6d,2026-08-25T19:41:08Z,search,measured,,gpt2,transformers,fp32,mps,fp32,2.9603380839998863,3.258354500758287,3.258354500758287,3.842510750018846,243.55533350080805,243.55533350080805,268.179108950153,270.3678889900948,99.79961892163445,445.953,,474.7,,,
2026-08-25T194108Z_fp32_17749262,2026-08-25T19:41:09Z,search,measured,,gpt2,transformers,fp32,mps,fp32,2.9603380839998863,3.110145999926317,3.110145999926317,3.3329148994198476,75.00018750033632,75.00018750033632,76.04671874978521,76.13974374973623,106.69204641898929,451.844,,474.7,,,
2026-08-25T194109Z_fp32_1b347fbc,2026-08-25T19:41:09Z,search,measured,,gpt2,transformers,fp32,mps,fp32,2.9603380839998863,3.3632505001151003,3.3632505001151003,3.604525648916024,123.29952150048484,123.29952150048484,131.04092774983656,131.72905274977893,97.79993871275701,451.875,,474.7,,,
2026-08-25T194109Z_fp32_85cc07b2,2026-08-25T19:41:10Z,search,measured,,gpt2,transformers,fp32,mps,fp32,2.9603380839998863,2.3097085004337714,2.3097085004337714,2.3356586508270993,109.56404199987446,109.56404199987446,109.59299230025863,109.59556566029278,146.03332523226794,451.938,,474.7,,,
2026-08-25T194110Z_fp32_405e8ec9,2026-08-25T19:41:11Z,search,measured,,gpt2,transformers,fp32,mps,fp32,2.9603380839998863,2.92189599986159,2.92189599986159,3.551014899403526,227.0156250006039,227.0156250006039,234.32396250109377,234.97359250113732,105.85503693053849,451.938,,474.7,,,
2026-08-25T194111Z_fp32_4a9869cf,2026-08-25T19:41:11Z,search,measured,,gpt2,transformers,fp32,mps,fp32,2.9603380839998863,2.491646000635228,2.491646000635228,2.615115201297158,63.209229499989306,63.209229499989306,63.43991074991209,63.46041574990522,126.56587667176305,457.312,,474.7,,,
2026-08-25T194111Z_fp32_e550c70f,2026-08-25T19:41:12Z,search,measured,,gpt2,transformers,fp32,mps,fp32,2.9603380839998863,2.364104500884423,2.364104500884423,2.4348107506739325,86.42129150030087,86.42129150030087,86.89960414994857,86.94212082991726,138.8599224036459,457.312,,474.7,,,
